abstract_sku,concrete_sku,product_abstract_store.store_name,product_abstract.category_key,product_abstract.category_product_order,product_abstract.is_featured,product_abstract.color_code,product_abstract.tax_set_name,product_abstract.new_from,product_abstract.new_to,product_abstract.meta_title.de_DE,product_abstract.meta_title.en_US,product_abstract.meta_description.de_DE,product_abstract.meta_description.en_US,product_abstract.meta_keywords.de_DE,product_abstract.meta_keywords.en_US,product_abstract.url.de_DE,product_abstract.url.en_US,product_concrete.old_sku,product_concrete.bundled,product_concrete.is_quantity_splittable,product_concrete.is_searchable.de_DE,product_concrete.is_searchable.en_US,product.assigned_product_type,product.icecat_pdp_url,product.icecat_license,product.name.de_DE,product.name.en_US,product.description.de_DE,product.description.en_US,product.attribute_key_1,product.value_1,product.attribute_key_1.de_DE,product.value_1.de_DE,product.attribute_key_1.en_US,product.value_1.en_US,product.attribute_key_2,product.value_2,product.attribute_key_2.de_DE,product.value_2.de_DE,product.attribute_key_2.en_US,product.value_2.en_US,product.attribute_key_3,product.value_3,product.attribute_key_3.de_DE,product.value_3.de_DE,product.attribute_key_3.en_US,product.value_3.en_US,product.attribute_key_4,product.value_4,product.attribute_key_4.de_DE,product.value_4.de_DE,product.attribute_key_4.en_US,product.value_4.en_US,product.attribute_key_5,product.value_5,product.attribute_key_6,product.value_6,product.attribute_key_6.de_DE,product.value_6.de_DE,product.attribute_key_6.en_US,product.value_6.en_US,product_stock.name,product_stock.quantity,product_stock.is_never_out_of_stock,product_stock.is_bundle,product_group.group_key,product_group.position,product_price.assigned_product_type,product_price.price_type,product_price.store,product_price.currency,product_price.value_net,product_price.value_gross,product_price.price_data.volume_prices,product_image.assigned_product_type,product_image.image_set_name,product_image.external_url_large,product_image.external_url_small,product_image.locale,product_image.sort_order,product_image.product_image_key,product_image.product_image_set_key
001,001_25904006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abstract,DEFAULT,DE,EUR,2000,30000,,concrete,image5,https://images.icecat.biz/img/norm/high/25904004-9055.jpg,https://images.icecat.biz/img/norm/medium/25904004-9055.jpg,de_DE,2,product_image_222,
001,001_25904006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_key_1,0,abstract,ORIGINAL,DE,EUR,2100,3100,,,,,,,,,
001,001_25904006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_key_77,0,abstract,DEFAULT,DE,CHF,1500,2500,,,,,,,,,
001,001_25904006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warehouse1,12,0,0,,,abstract,ORIGINAL,DE,CHF,1600,2600,,,,,,,,,
001,001_25904006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warehouse2,0,1,0,,,abstract,DEFAULT,AT,EUR,2100,3100,,,,,,,,,
001,001_25904006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abstract,DEFAULT,AT,CHF,1600,2600,,,,,,,,,
fish-1,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fish-1,fish-1-1,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,,DE,tablets,10,0,#000000,Communication Electronics,2020-05-01 0:00:00,2020-05-01 0:00:00,Neu HP Slate 10 Pro EExx,New HP Slate 10 Pro EExx,"Für Schulen entwickelt Stellen Sie ein Tablet bereit, das speziell für die hohen Anforderungen im Schulalltag entwickelt wurde und dank Intel® Quad-Core-Pr",Let tablet Improve 1:1 learning and elevate student engagement with the Android™ tablet built for schools. The mobility and durability of the HP Pro Slate,"HP,Communication Electronics","HP,Communication Electronics",/de/hp-slate-10-pro-ee-999,/en/hp-slate-10-pro-ee-999,25880805,,,1,1,abstract,//icecat.de/en/p/hp/l2j96aa/tablets-0889296097754-HP-Slate-10-Pro-10-EE-G1-32GB-Grey-25880805.html,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",Neu HP Slate 10 Pro EExx,New HP Slate 10 Pro EExx,"Für Schulen entwickelt Stellen Sie ein Tablet bereit, das speziell für die hohen Anforderungen im Schulalltag entwickelt wurde und dank Intel® Quad-Core-Prozessor, einem entspiegelten HD Touch-Display mit 25,65 cm (10 Zoll) Diagonale und Handschriftunterstützung (mit optimalem Eingabestift) ein 1:1-Lernerlebnis zu einem erschwinglichen Preis bietet.      Erzielen Sie ein 1:1-Lernerlebnis und steigern Sie das Engagement der Schüler mit diesem Android™-Tablet, das speziell für Schulen entwickelt wurde. Das zuverlässige und robuste HP Pro Tablet 10 EE umfasst Lerntools und flexible Konnektivitätsoptionen für ein Lernerlebnis über das Klassenzimmer hinweg. Darüber hinaus unterstützen professionelle Support- und Serviceleistungen das Lehrpersonal bei der Einbindung neuer IT-Komponenten.","Let tablet Improve 1:1 learning and elevate student engagement with the Android™ tablet built for schools. The mobility and durability of the HP Pro Slate 10 EE includes learning tools and flexible connectivity to expand education beyond the walls of the classroom, plus professional support and services to help educators confidently incorporate new IT.  ",internal_storage_capacity,32 GB,,,,,processor_cache,2 MB,,,,,display_technology,IPS,,,,,touch_technology,Mulit-touch,,,,,brand,HP,,,color,Schwarz,color,Black,,,,,,,abstract,DEFAULT,DE,EUR,199,210,,abstract,default,https://images.icecat.biz/img/norm/high/25904145-Sony.jpg,https://images.icecat.biz/img/norm/medium/25904145-Sony.jpg,de_DE,0,product_image_194,
