sales_unit_key,concrete_sku,code,conversion,precision,is_displayed,is_default
sales_unit_1,215_123,METR,1,100,1,1
sales_unit_2,215_123,CMET,,,1,0
sales_unit_3,215_124,METR,1,100,1,0
sales_unit_4,215_124,CMET,0.01,1,1,0
sales_unit_5,215_124,FOOT,0.3048,100,1,1
sales_unit_6,216_123,ITEM,5,1,1,1
sales_unit_7,217_123,ITEM,1,1,1,1
sales_unit_8,217_123,KILO,2,100,1,0
sales_unit_9,217_123,GRAM,1,1,1,0
sales_unit_10,218_123,ITEM,1,1,1,1
sales_unit_11,218_123,KILO,200,1000,1,0
sales_unit_12,218_123,GRAM,0.2,1,1,0
sales_unit_13,218_1231,ITEM,1,1,1,1
sales_unit_14,218_1231,KILO,2,100,1,0
sales_unit_15,218_1231,GRAM,0.002,1,1,0
sales_unit_16,218_1232,ITEM,1,1,1,1
sales_unit_17,218_1232,KILO,0.4,1,1,0
sales_unit_18,218_1232,GRAM,0.0004,1,1,0
sales_unit_19,218_1233,ITEM,1,1,1,1
sales_unit_20,218_1234,ITEM,1,1,1,1
sales_unit_21,218_1234,KILO,200,100,1,0
sales_unit_22,218_1234,GRAM,0.2,1,1,0
sales_unit_23,218_1230,ITEM,1,1,1,1
sales_unit_24,218_1230,KILO,10,100,1,0
sales_unit_25,218_1230,GRAM,0.01,1,1,0
sales_unit_26,217_1231,ITEM,1,1,1,1
sales_unit_fish-kilo,fish-1-1,KILO,1,1000,1,1
sales_unit_potato-kilo,potato-1-1,KILO,1,1000,1,1
sales_unit_hdmi-cable-meter-1,cable-hdmi-1-1,METR,1,100,1,0
sales_unit_hdmi-cable-meter-2,cable-hdmi-1-2,METR,1,100,1,1
sales_unit_hdmi-cable-centi,cable-hdmi-1-2,CMET,0.01,10,1,0
sales_unit_vga-cable-meter-1,cable-vga-1-1,METR,1,100,1,0
sales_unit_vga-cable-meter-2,cable-vga-1-2,METR,1,100,1,1
sales_unit_vga-cable-centi,cable-vga-1-2,CMET,0.01,10,1,0
