sales_unit_key,store_name
sales_unit_1,DE
sales_unit_1,US
sales_unit_1,AT
sales_unit_2,DE
sales_unit_2,US
sales_unit_2,AT
sales_unit_3,DE
sales_unit_3,US
sales_unit_3,AT
sales_unit_4,DE
sales_unit_4,US
sales_unit_4,AT
sales_unit_5,DE
sales_unit_5,US
sales_unit_5,AT
sales_unit_6,DE
sales_unit_6,US
sales_unit_6,AT
sales_unit_7,DE
sales_unit_7,US
sales_unit_7,AT
sales_unit_8,DE
sales_unit_8,US
sales_unit_8,AT
sales_unit_9,DE
sales_unit_9,US
sales_unit_9,AT
sales_unit_10,DE
sales_unit_10,US
sales_unit_10,AT
sales_unit_11,DE
sales_unit_11,US
sales_unit_11,AT
sales_unit_12,DE
sales_unit_12,AT
sales_unit_12,US
sales_unit_13,DE
sales_unit_13,US
sales_unit_13,AT
sales_unit_14,DE
sales_unit_14,US
sales_unit_14,AT
sales_unit_15,DE
sales_unit_15,US
sales_unit_15,AT
sales_unit_16,DE
sales_unit_16,US
sales_unit_16,AT
sales_unit_17,DE
sales_unit_17,US
sales_unit_17,AT
sales_unit_18,DE
sales_unit_18,US
sales_unit_18,AT
sales_unit_19,DE
sales_unit_19,US
sales_unit_19,AT
sales_unit_20,DE
sales_unit_20,US
sales_unit_20,AT
sales_unit_21,DE
sales_unit_21,US
sales_unit_21,AT
sales_unit_22,DE
sales_unit_22,US
sales_unit_22,AT
sales_unit_23,DE
sales_unit_23,US
sales_unit_23,AT
sales_unit_24,DE
sales_unit_24,US
sales_unit_24,AT
sales_unit_25,DE
sales_unit_25,US
sales_unit_25,AT
sales_unit_fish-kilo,DE
sales_unit_potato-kilo,DE
sales_unit_hdmi-cable-meter-1,DE
sales_unit_hdmi-cable-meter-2,DE
sales_unit_hdmi-cable-centi,DE
sales_unit_vga-cable-meter-1,DE
sales_unit_vga-cable-meter-2,DE
sales_unit_vga-cable-centi,DE
