concrete_sku,lead_product_sku,packaging_unit_type_name,default_amount,is_amount_variable,amount_min,amount_max,amount_interval
218_1233,218_123,packaging_unit_type.pack_mixed.name,5,1,3,5,2
218_1234,218_123,packaging_unit_type.box.name,100,1,100,1000,10
218_1230,218_123,packaging_unit_type.pack_20.name,20,0,0,0,0
218_1231,218_123,packaging_unit_type.pack_100.name,100,0,0,0,0
218_1232,218_123,packaging_unit_type.pack_500.name,500,0,0,0,0
217_1231,217_123,packaging_unit_type.ring_500.name,1,0,,,
215_124,215_123,packaging_unit_type.ring_500.name,1,0,,,
fish-1-1,fish-1-1,packaging_unit_type.fish.name,37.44,0,,,
potato-1-1,potato-1-1,packaging_unit_type.bulk.name,1,1,1,10,0.1
cable-hdmi-1-1,cable-hdmi-1-1,packaging_unit_type.ring.name,1.5,0,,,
cable-hdmi-1-2,cable-hdmi-1-2,packaging_unit_type.bulk.name,0.5,1,0.5,100,0.5
cable-vga-1-1,cable-vga-1-2,packaging_unit_type.ring.name,1.5,0,,,
cable-vga-1-2,cable-vga-1-2,packaging_unit_type.bulk.name,0.5,1,0.5,100,0.5
